Source,Target,Type,Label,Weight,Person_Index_Year,Assoc_Index_Year
胡憲,呂祖謙,Directed,學生為Y,1,1086,1137
胡憲,劉懋,Directed,學生為Y,1,1086,1114
胡憲,劉懋,Directed,學生為Y,1,1086,1114
胡憲,魏掞之,Directed,學生為Y,1,1086,1116
胡憲,魏穎,Directed,學生為Y,1,1086,1049
胡憲,邵景之,Directed,學生為Y,1,1086,1142
胡憲,張哲,Directed,學生為Y,1,1086,
胡一桂,董真卿,Directed,學生為Y,1,1247,
胡寅,劉荀,Directed,學生為Y,1,1098,
胡寅,毛以謨,Directed,學生為Y,1,1098,
胡寅,毛以謨,Directed,學生為Y,1,1098,
胡寅,石安民,Directed,學生為Y,1,1098,1115
胡寅,金悅,Directed,學生為Y,1,1098,
胡寅,梁觀國,Directed,學生為Y,1,1098,1088
胡寅,黃執矩,Directed,學生為Y,1,1098,
胡泳,李仁深,Directed,弟子為Y,1,,1186
胡泳,李仁垕,Directed,弟子為Y,1,,1203
胡瑗,陳貽範,Directed,門人為Y,1,993,1037
胡瑗,劉民先,Directed,門人為Y,1,993,1037
胡瑗,王觀,Directed,門人為Y,1,993,1027
胡瑗,饒子儀,Directed,門人為Y,1,993,
胡瑗,林晟,Directed,門人為Y,1,993,
胡瑗,張巨,Directed,學生為Y,1,993,1063
胡瑗,周之道,Directed,學生為Y,1,993,1030
胡瑗,范純仁,Directed,學生為Y,1,993,1027
胡瑗,劉彝,Directed,學生為Y,1,993,1022
胡瑗,莫君陳,Directed,學生為Y,1,993,1027
胡瑗,孫覺,Directed,學生為Y,1,993,1028
胡瑗,王得臣,Directed,學生為Y,1,993,1029
胡瑗,游烈,Directed,學生為Y,1,993,1027
胡瑗,朱臨,Directed,學生為Y,1,993,1019
胡瑗,凌浩,Directed,學生為Y,1,993,1035
胡瑗,呂希哲,Directed,學生為Y,1,993,1048
胡瑗,歐陽發,Directed,學生為Y,1,993,1040
胡瑗,方仲宇,Directed,學生為Y,1,993,1037
胡瑗,倪天隱,Directed,學生為Y,1,993,
胡瑗,張君奭,Directed,學生為Y,1,993,1042
胡瑗,翁仲通,Directed,學生為Y,1,993,1027
胡瑗,趙屼,Directed,學生為Y,1,993,1035
胡瑗,盛僑,Directed,學生為Y,1,993,1023
胡瑗,胡稷言,Directed,學生為Y,1,993,1036
胡瑗,陳敏,Directed,學生為Y,1,993,1040
胡瑗,管師復,Directed,學生為Y,1,993,1038
胡瑗,管師常,Directed,學生為Y,1,993,1040
胡瑗,苗授,Directed,學生為Y,1,993,1029
胡瑗,潘及甫,Directed,學生為Y,1,993,1016
胡瑗,蔡說,Directed,學生為Y,1,993,1022
胡瑗,汪澥,Directed,學生為Y,1,993,1042
胡瑗,徐積,Directed,學生為Y,1,993,1028
胡瑗,杜汝霖,Directed,學生為Y,1,993,
胡瑗,吳孜,Directed,學生為Y,1,993,1058
胡瑗,周穎,Directed,學生為Y,1,993,1040
胡瑗,祝常,Directed,學生為Y,1,993,
胡瑗,翁升,Directed,學生為Y,1,993,1052
胡瑗,張堅,Directed,學生為Y,1,993,
胡瑗,顧臨,Directed,弟子為Y,1,993,1023
胡瑗,王固,Directed,弟子為Y,1,993,1023
胡瑗,田述古,Directed,弟子為Y,1,993,1031
胡助,王士點,Directed,學生為Y,1,1278,1275
胡宗伋,孫介,Directed,學生為Y,1,1071,1114
胡宗伋,孫疇,Directed,學生為Y,1,1071,
扈蒙,柳肩吾,Directed,學生為Y,1,911,942
華直溫,蘇頌,Directed,學生為Y,1,1006,1020
㬊淵,陽枋,Directed,學生為Y,1,,1187
㬊淵,陽岊,Directed,學生為Y,1,,
黃補,陳鵬飛,Directed,學生為Y,1,,1112
黃幹,饒魯,Directed,學生為Y,1,,1193
黃榦,何基,Directed,學生為Y,1,1152,1188
黃榦,何堅,Directed,學生為Y,1,1152,1186
黃榦,饒魯,Directed,學生為Y,1,1152,1193
黃榦,朱鉅,Directed,學生為Y,1,1152,1190
黃榦,朱鈞,Directed,學生為Y,1,1152,1190
黃榦,李鑑,Directed,學生為Y,1,1152,1187
黃榦,吳泳,Directed,學生為Y,1,1152,1178
黃榦,董夢程,Directed,學生為Y,1,1152,1175
黃榦,董夢程,Directed,學生為Y,1,1152,1175
黃榦,吳昌裔,Directed,學生為Y,1,1152,1183
黃榦,李晦,Directed,學生為Y,1,1152,
黃榦,林子敭,Directed,學生為Y,1,1152,
黃榦,馬宗諒,Directed,學生為Y,1,1152,
黃榦,家𢴍,Directed,學生為Y,1,1152,
黃珪,張九成,Directed,學生為Y,1,1076,1092
黃績,林棟,Directed,門人為Y,1,1196,1241
黃績,林㝱協,Directed,學生為Y,1,1196,1217
黃績,鄭獻翁,Directed,學生為Y,1,1196,1235
黃溍,宋濂,Directed,學生為Y,1,1277,1310
黃溍,王褘,Directed,學生為Y,1,1277,1322
黃溍,戴良,Directed,學生為Y,1,1277,1317
黃溍,蔣允升,Directed,學生為Y,1,1277,1329
黃溍,陳基,Directed,學生為Y,1,1277,1314
黃溍,金涓,Directed,學生為Y,1,1277,
黃溍,劉涓,Directed,學生為Y,1,1277,
黃溍,朱廉,Directed,學生為Y,1,1277,
黃溍,傅藻,Directed,學生為Y,1,1277,
黃溍,朱濂,Directed,學生為Y,1,1277,
黃靜,熊剛大,Directed,學生為Y,1,1079,1184
黃筌,夏侯延祐,Directed,學生為Y,1,,
黃裳,何鏐,Directed,門人為Y,1,1146,
黃庭堅,宋完,Directed,門人為Y,1,1045,
黃庭堅,潘淳,Directed,學生為Y,1,1045,1027
黃庭堅,范溫,Directed,學生為Y,1,1045,1112
黃庭堅,張才叔,Directed,學生為Y,1,1045,
黃庭堅,崔子方,Directed,學生為Y,1,1045,
黃庭堅,黃沇,Directed,學生為Y,1,1045,
黃庭堅,黃沇,Directed,學生為Y,1,1045,
黃庭堅,楊皓,Directed,學生為Y,1,1045,
黃庭堅,蔡相,Directed,學生為Y,1,1045,
黃庭堅,劉瑜,Directed,學生為Y,1,1045,
黃庭堅,江端禮,Directed,弟子為Y,1,1045,1060
黃冔,黃觀,Directed,學生為Y,1,1308,1339
黃彥,韓羽,Directed,學生為Y,1,1042,1043
黃澤,趙汸,Directed,學生為Y,1,1260,1319
黃澤,朱升,Directed,學生為Y,1,1260,1299
嵇穎,張堯封,Directed,學生為Y,1,997,994
賈涉,劉克莊,Directed,學生為Y,1,1183,1187
賈似道,阮秀實,Directed,門人為Y,1,1213,
江側,葉祖洽,Directed,學生為Y,1,1043,1055
江濤,陳瓘,Directed,學生為Y,1,,1057
江萬里,俞應元,Directed,學生為Y,1,1198,1232
江萬里,詹仲美,Directed,學生為Y,1,1198,
江萬里,趙介如,Directed,學生為Y,1,1198,
江緯,汪藻,Directed,學生為Y,1,1070,1079
江緯,李處權,Directed,學生為Y,1,1070,1086
江緯,程俱,Directed,弟子為Y,1,1070,1078
江緯,趙子晝,Directed,弟子為Y,1,1070,1089
江緯,汪藻,Directed,弟子為Y,1,1070,1079
江緯,李處權,Directed,弟子為Y,1,1070,1086
姜夔,張輯,Directed,學生為Y,1,1155,
姜潛,劉摯,Directed,學生為Y,1,,1027
蔣雱,李章,Directed,學生為Y,1,,1057
蔣堂,施堪,Directed,門人為Y,1,980,
蔣之奇,王薦,Directed,學生為Y,1,1031,1046
焦瑗,沈樞,Directed,學生為Y,1,,1115
焦瑗,沈銖,Directed,學生為Y,1,,1115
焦瑗,沈鍾,Directed,學生為Y,1,,1145
焦瑗,沈銘,Directed,學生為Y,1,,1145
金履祥,郭炯,Directed,門人為Y,1,1232,
金履祥,許謙,Directed,學生為Y,1,1232,1270
金履祥,衛富益,Directed,學生為Y,1,1232,
金履祥,張樞,Directed,學生為Y,1,1232,1292
金履祥,柳貫,Directed,學生為Y,1,1232,1270
金履祥,趙宏偉,Directed,學生為Y,1,1232,1244
金履祥,唐良知,Directed,學生為Y,1,1232,
金履祥,唐良瑞,Directed,學生為Y,1,1232,
金履祥,郭子昭,Directed,學生為Y,1,1232,
