Id,Label,Index_Year
黃㽦,黃㽦,1150
劉孟容,劉孟容,1151
詹儀之,詹儀之,1121
陳枅,陳枅,1165
章康,章康,1183
傅伯壽,傅伯壽,1133
傅伯成,傅伯成,1143
劉爚,劉爚,1144
應純之,應純之,1172
應謙之,應謙之,1160
應茂之,應茂之,1169
石洪慶,石洪慶,1055
符敘,符敘,1151
郭津,郭津,1158
郭浩,郭浩,1158
潘履孫,潘履孫,1166
黃灝,黃灝,1130
戴蒙,戴蒙,1160
黃謙,黃謙,1157
李相祖,李相祖,1179
郭磊卿,郭磊卿,1184
李友仁,李友仁,1156
林士謙,林士謙,1154
劉淮,劉淮,1160
王洽,王洽,1152
陸濬,陸濬,1181
林鼐,林鼐,1144
陶暘,陶暘,
滕珙,滕珙,1157
竇澄,竇澄,
曹叔遠,曹叔遠,1160
程洵,程洵,1135
翁易,翁易,1166
吳獵,吳獵,1143
楊至,楊至,
趙綸,趙綸,1164
吳琮,吳琮,1154
劉堯夫,劉堯夫,
鍾震,鍾震,1166
高松,高松,1154
趙子明(字),趙子明(字),1070
程端蒙,程端蒙,1143
魏孝伯,魏孝伯,1146
饒幹,饒幹,1145
葉湜,葉湜,1168
江默,江默,1139
劉黻,劉黻,1178
劉黼,劉黼,1180
林至,林至,1147
杜旝,杜旝,
王阮,王阮,1145
趙師騫,趙師騫,1150
趙師游,趙師游,1150
王景仁,王景仁,
鄭性之,鄭性之,1172
康淵,康淵,
方伯起,方伯起,
劉成道,劉成道,
趙唯夫,趙唯夫,
饒敏學,饒敏學,
甘節,甘節,
丘珏,丘珏,
江孚先,江孚先,
任忠厚,任忠厚,
朱魯叔,朱魯叔,
宋之源,宋之源,1158
宋斌,宋斌,
李大訓,李大訓,1166
李亢宗,李亢宗,
李周翰,李周翰,1223
吳玭,吳玭,1152
李伯誠,李伯誠,
吳倫,吳倫,
吳昶,吳昶,1156
吳壽昌,吳壽昌,
呂炎,呂炎,
吳振,吳振,1157
呂煥,呂煥,
呂燾,呂燾,
林羽,林羽,
余思齋,余思齋,
林大春,林大春,
林用中,林用中,
周良,周良,1184
林夔孫,林夔孫,
林易簡,林易簡,
范元裕,范元裕,1162
孫調,孫調,1126
孫自任,孫自任,
許升,許升,1122
許瑾,許瑾,
許儉,許儉,
許文蔚,許文蔚,1160
曹建,曹建,1120
子升,子升,
方毅父,方毅父,
王力行,王力行,
王子充,王子充,
王子周,王子周,
王壬,王壬,
王朝,王朝,
朱季繹,朱季繹,
江元益,江元益,
江疇,江疇,
